"cell","ordering_set","pseudotime","program","sample","condition"
"N176712_CELL6455_N2","program_DE_all1586",8.19033569813173,"Homeostatic/regulatory fibroblasts","N176712","Normal"
"N176712_CELL6949_N3","program_DE_all1586",8.33839985724421,"Homeostatic/regulatory fibroblasts","N176712","Normal"
"N176712_CELL9310_N1","program_DE_all1586",0.319340815162594,"Homeostatic/regulatory fibroblasts","N176712","Normal"
"N176712_CELL14513_N1","program_DE_all1586",3.30389787828186,"Matrix-remodeling fibroblasts","N176712","Normal"
"N176712_CELL14881_N1","program_DE_all1586",7.77865590895535,"Matrix-remodeling fibroblasts","N176712","Normal"
"N177536_CELL99_N5","program_DE_all1586",7.05125863371392,"Homeostatic/regulatory fibroblasts","N177536","Normal"
"N177536_CELL467_N2","program_DE_all1586",4.78143342751248,"Homeostatic/regulatory fibroblasts","N177536","Normal"
"N177536_CELL641_N3","program_DE_all1586",19.6606178128907,"Homeostatic/regulatory fibroblasts","N177536","Normal"
"N177536_CELL1859_N3","program_DE_all1586",22.1144210051832,"Homeostatic/regulatory fibroblasts","N177536","Normal"
"N177536_CELL2671_N2","program_DE_all1586",8.0199517552962,"Homeostatic/regulatory fibroblasts","N177536","Normal"
"N177536_CELL3702_N2","program_DE_all1586",0.182654130282136,"Homeostatic/regulatory fibroblasts","N177536","Normal"
"N177536_CELL3817_N3","program_DE_all1586",8.53721476855336,"Homeostatic/regulatory fibroblasts","N177536","Normal"
"N177536_CELL4444_N3","program_DE_all1586",10.3074304343232,"Matrix-remodeling fibroblasts","N177536","Normal"
"N177536_CELL4931_N3","program_DE_all1586",7.52073275912496,"Homeostatic/regulatory fibroblasts","N177536","Normal"
"N177536_CELL5149_N2","program_DE_all1586",6.72316974373265,"Homeostatic/regulatory fibroblasts","N177536","Normal"
"N177536_CELL5420_N3","program_DE_all1586",2.23030112841474,"Homeostatic/regulatory fibroblasts","N177536","Normal"
"N177536_CELL5535_N2","program_DE_all1586",8.30256287861424,"Homeostatic/regulatory fibroblasts","N177536","Normal"
"N177536_CELL5547_N2","program_DE_all1586",0.397413522227724,"Homeostatic/regulatory fibroblasts","N177536","Normal"
"N177536_CELL6495_N2","program_DE_all1586",0.251469350319071,"Homeostatic/regulatory fibroblasts","N177536","Normal"
"N177536_CELL6881_N2","program_DE_all1586",0.197748985948261,"Homeostatic/regulatory fibroblasts","N177536","Normal"
"N177536_CELL8407_N2","program_DE_all1586",8.3666505222703,"Homeostatic/regulatory fibroblasts","N177536","Normal"
"N177536_CELL8499_N2","program_DE_all1586",0.216144606555031,"Homeostatic/regulatory fibroblasts","N177536","Normal"
"N177536_CELL8756_N3","program_DE_all1586",8.1214468308817,"Homeostatic/regulatory fibroblasts","N177536","Normal"
"N177536_CELL8831_N2","program_DE_all1586",17.3414347100648,"Homeostatic/regulatory fibroblasts","N177536","Normal"
"N177536_CELL9609_N2","program_DE_all1586",0.141759307895503,"Homeostatic/regulatory fibroblasts","N177536","Normal"
"N177536_CELL9771_N2","program_DE_all1586",8.12734260845961,"Homeostatic/regulatory fibroblasts","N177536","Normal"
"N177536_CELL9976_N2","program_DE_all1586",0.378721692983472,"Homeostatic/regulatory fibroblasts","N177536","Normal"
"N177536_CELL10205_N3","program_DE_all1586",6.25812161679183,"Homeostatic/regulatory fibroblasts","N177536","Normal"
"N177536_CELL10358_N2","program_DE_all1586",9.54481475809653,"Homeostatic/regulatory fibroblasts","N177536","Normal"
"N177536_CELL11050_N3","program_DE_all1586",6.88120443451935,"Matrix-remodeling fibroblasts","N177536","Normal"
"N177536_CELL11056_N2","program_DE_all1586",5.17119653179564,"ECM-producing fibroblasts","N177536","Normal"
"N177536_CELL11528_N3","program_DE_all1586",16.6161820362589,"Homeostatic/regulatory fibroblasts","N177536","Normal"
"N177536_CELL11941_N3","program_DE_all1586",0.0686229432760075,"Homeostatic/regulatory fibroblasts","N177536","Normal"
"N177536_CELL13121_N1","program_DE_all1586",10.3363432343179,"Homeostatic/regulatory fibroblasts","N177536","Normal"
"N177536_CELL15883_N1","program_DE_all1586",10.34814125354,"Matrix-remodeling fibroblasts","N177536","Normal"
"N177536_CELL16993_N1","program_DE_all1586",4.28466423067252,"ECM-producing fibroblasts","N177536","Normal"
"N177536_CELL17130_N1","program_DE_all1586",4.31789581400071,"Homeostatic/regulatory fibroblasts","N177536","Normal"
"N177536_CELL18616_N1","program_DE_all1586",11.7007231702746,"ECM-producing fibroblasts","N177536","Normal"
"N177536_CELL19214_N1","program_DE_all1586",0.250684108914543,"Homeostatic/regulatory fibroblasts","N177536","Normal"
"N177536_CELL19706_N1","program_DE_all1586",2.43423804717079,"Homeostatic/regulatory fibroblasts","N177536","Normal"
